"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Azerbaijan","AZE","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8513.3106784196","8323.49932729725","6345.51701885592","4806.1326885826","3807.50789709674","3319.7673740954","3329.13482280461","3488.4100277408","3801.0025135768","4046.60743776121","4458.99842046179","4862.61902812589","5338.07635384379","5891.13713490129","6435.44813523201","8051.67479378506","10711.1822517414","13243.2128817999","14364.9942493346","15393.8932735728","15950.2574675275","15754.1523626148","15888.217965794","16593.5464611171",
"Burundi","BDI","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050.54159653474","1075.4295042675","1061.74918180034","975.428436689299","921.380575104138","835.090217115649","757.962016673357","737.116870492109","762.777309802246","743.813850061035","723.185758835705","720.237814974509","731.061571451024","699.588787516065","709.341258874087","691.811822886322","704.38964150091","712.777325264706","723.063257619166","722.797554381359","725.294076874692","731.329864172999","736.843294768557","746.080105248157",
"Belgium","BEL","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30331.9626992211","30773.4055143676","31117.9340155192","30698.4644232082","31591.5805933052","32277.2917141834","32673.1502019727","33811.6216426235","34390.3240703096","35526.2239922568","36740.69030425","36910.2485379406","37244.7686056486","37388.4195099319","38445.8830046189","38904.5258195754","39679.3578828405","40524.7176172833","40601.9360123488","39148.5916411147","39609.7050272199","39839.5093156445","39494.4338120647","39335.6417856431",
"Benin","BEN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1359.9549935367","1367.85087673083","1357.0629346364","1383.7277560101","1361.82769460007","1396.17319328677","1411.58475319888","1449.13268199288","1463.91509193743","1497.72594183079","1523.33513854364","1567.64083833505","1584.00026253072","1591.63358821473","1588.02621310862","1581.70716304976","1590.26899465028","1613.43018598938","1644.20829952354","1639.18788214448","1633.47996686093","1644.46447652592","1686.54663515196","1733.93499197196",
"Burkina Faso","BFA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","835.07636738835","886.758529007502","865.20595240454","871.224775183427","858.933102082409","883.438343855364","954.018278954563","986.471736537163","1029.33038162323","1074.76386469285","1063.87339099114","1101.8372411239","1125.50784505607","1178.56334836571","1195.90229129939","1261.95614168369","1308.33984398286","1316.21108557983","1352.22048009766","1352.16690007191","1417.70123858955","1435.3593643803","1527.85572807288","1581.99047345561",
"Bangladesh","BGD","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1067.55674019884","1077.62932614975","1106.79946795371","1132.58141220209","1154.01606893993","1185.59749519369","1214.74344136245","1254.11828254705","1293.45353183915","1330.46493990849","1383.82538452285","1431.43903502151","1469.80491227331","1522.83024420347","1594.84065424967","1667.38837083653","1756.6502317505","1849.28902402535","1943.68970060521","2034.2034056993","2134.50296379117","2251.80643054779","2363.83324040064","2475.97419671539",
"Bulgaria","BGR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9724.85573576319","8992.17840720136","8428.25518196696","8369.99794543295","8551.15470678496","8834.99737399974","8078.74955328863","7994.33271212336","8439.0929811982","8653.22712757378","9191.74685771384","9756.79847989344","10412.463031118","11048.2085617091","11852.6683643042","12678.4689924782","13574.2649707299","14737.190553243","15761.1400289023","14990.5481747671","15149.9109878065","15521.8213652736","15705.8175361563","15935.8942135067",
"Bahrain","BHR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35398.4833410377","38315.2323684033","39853.6461115765","43894.5824300756","42711.7711937098","43243.8282256492","43781.1028122649","43797.7405005839","44399.0615709555","44619.2232425709","45062.7417508703","44168.6481752066","43653.8374918451","43914.5490270288","44206.2379828805","44030.8515001634","43357.7542919365","43251.4887776074","42503.454721688","40823.6755995422","40552.9419331981","40083.3786079759","40657.7977272442","42428.0985770168",
"Bahamas, The","BHS","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24109.1876083515","22679.4987946475","21402.4374417146","21071.7410461617","21363.7193158853","21962.3665810523","22597.2107566236","22808.5829880678","23630.52850455","25015.3571136422","25675.5772124761","25893.5229190125","26074.6007594295","25207.6982580469","24895.7760207312","25217.9292421045","25349.3226373914","25232.8100354856","24201.3025462805","22788.3721426291","22630.1063353766","22639.3138989461","22705.2192249124","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1565.64042853221","1965.64183157267","3751.97552809603","4970.36176010699","5580.31226686135","5934.78637660569","6126.71255167725","6322.1099169231","6626.05118828644","6894.27718640249","7331.87152267522","7712.14635397192","8200.17177338131","8775.60116947304","9269.12211247926","9017.50179240744","9098.37269615578","9232.51226045301","9180.81181527562","9225.40613856321",
